Searching for counterexample to Bound 44
Time budget: 3600s | Restart budget: 120s
Max nodes: 100
Sparse init: random trees at n=40-60
============================================================

--- Restart 1 | 3600s remaining ---
  Starting from random tree: n=60
AMCS start | n=60 e=59 | score=-2.677395
  iter   58 | t=   6.0s | IMPROVED +0.010191 -> -1.116185 | n=78 e=175 | depth=0 level=1
  iter   59 | t=   6.0s | IMPROVED +0.000743 -> -1.115443 | n=78 e=177 | depth=0 level=1
  iter   60 | t=   6.6s | IMPROVED +0.001115 -> -1.114328 | n=78 e=179 | depth=0 level=1
  iter   61 | t=   9.2s | IMPROVED +0.000457 -> -1.113871 | n=80 e=181 | depth=0 level=1
  iter   62 | t=   9.6s | IMPROVED +0.002519 -> -1.111352 | n=80 e=183 | depth=0 level=1
  iter   63 | t=  10.1s | IMPROVED +0.004591 -> -1.106760 | n=82 e=185 | depth=0 level=1
  iter   64 | t=  11.5s | IMPROVED +0.001885 -> -1.104876 | n=83 e=187 | depth=0 level=1
  iter   65 | t=  11.8s | IMPROVED +0.000600 -> -1.104275 | n=83 e=189 | depth=0 level=1
  iter   66 | t=  12.2s | IMPROVED +0.005619 -> -1.098656 | n=83 e=191 | depth=0 level=1
  iter   67 | t=  13.3s | IMPROVED +0.001970 -> -1.096686 | n=83 e=193 | depth=0 level=1
  iter   68 | t=  21.6s | IMPROVED +0.000219 -> -1.096468 | n=85 e=195 | depth=0 level=1
  iter   69 | t=  21.8s | IMPROVED +0.001096 -> -1.095372 | n=85 e=197 | depth=0 level=1
  iter   70 | t=  21.8s | IMPROVED +0.005102 -> -1.090270 | n=86 e=199 | depth=0 level=1
  iter   71 | t=  22.8s | IMPROVED +0.026980 -> -1.063290 | n=88 e=201 | depth=0 level=1
  iter   72 | t=  24.1s | IMPROVED +0.000378 -> -1.062912 | n=89 e=203 | depth=0 level=1
  iter   73 | t=  25.9s | IMPROVED +0.003164 -> -1.059747 | n=89 e=205 | depth=0 level=1
  iter   74 | t=  27.2s | IMPROVED +0.003162 -> -1.056585 | n=90 e=207 | depth=0 level=1
  iter   75 | t=  35.5s | IMPROVED +0.003176 -> -1.053409 | n=90 e=209 | depth=0 level=1
  iter   76 | t=  35.7s | IMPROVED +0.001496 -> -1.051913 | n=92 e=211 | depth=0 level=1
  iter   77 | t=  37.5s | IMPROVED +0.005320 -> -1.046593 | n=94 e=213 | depth=0 level=1
  iter   78 | t=  41.1s | IMPROVED +0.008215 -> -1.038378 | n=95 e=215 | depth=0 level=1
  iter   79 | t=  43.2s | IMPROVED +0.014290 -> -1.024088 | n=96 e=217 | depth=0 level=1
  iter   80 | t=  44.2s | IMPROVED +0.006331 -> -1.017757 | n=96 e=219 | depth=0 level=1
  iter   81 | t=  45.2s | IMPROVED +0.002407 -> -1.015350 | n=97 e=221 | depth=0 level=1
  iter   83 | t=  52.9s | IMPROVED +0.003720 -> -1.011630 | n=99 e=223 | depth=0 level=1
  iter   84 | t=  55.0s | IMPROVED +0.011504 -> -1.000126 | n=100 e=225 | depth=0 level=1
  iter   85 | t=  56.5s | IMPROVED +0.000031 -> -1.000095 | n=101 e=227 | depth=0 level=1
  iter   90 | t=  69.1s | score=-1.009384 best=-1.000095 | depth=5 level=1
  iter   96 | t=  91.1s | IMPROVED +0.000318 -> -0.999777 | n=100 e=226 | depth=0 level=1
  iter   98 | t=  96.7s | IMPROVED +0.000349 -> -0.999427 | n=101 e=228 | depth=0 level=1
  iter  100 | t= 101.4s | score=-0.999427 best=-0.999427 | depth=2 level=1
AMCS done  | 120.0s | 106 iterations | best=-0.999427 | n=101 e=228

--- Restart 2 | 3480s remaining ---
  Starting from random tree: n=59
AMCS start | n=59 e=58 | score=-1.593234
  iter    1 | t=   0.0s | IMPROVED +0.340372 -> -1.252862 | n=59 e=60 | depth=0 level=1
  iter    2 | t=   0.0s | IMPROVED +0.381186 -> -0.871676 | n=59 e=62 | depth=0 level=1
  iter    3 | t=   0.0s | IMPROVED +0.000070 -> -0.871605 | n=59 e=64 | depth=0 level=1
  iter    4 | t=   0.0s | IMPROVED +0.000003 -> -0.871602 | n=59 e=66 | depth=0 level=1
  iter    5 | t=   0.0s | IMPROVED +0.000310 -> -0.871292 | n=59 e=68 | depth=0 level=1
  iter    6 | t=   0.1s | IMPROVED +0.200341 -> -0.670952 | n=60 e=70 | depth=0 level=1
  iter    7 | t=   0.1s | IMPROVED +0.036980 -> -0.633972 | n=60 e=72 | depth=0 level=1
  iter    8 | t=   0.1s | IMPROVED +0.077985 -> -0.555986 | n=60 e=74 | depth=0 level=1
  iter    9 | t=   0.1s | IMPROVED +0.000606 -> -0.555381 | n=60 e=76 | depth=0 level=1
  iter   10 | t=   0.2s | IMPROVED +0.005477 -> -0.549904 | n=62 e=78 | depth=0 level=1
  iter   11 | t=   0.2s | IMPROVED +0.001072 -> -0.548831 | n=62 e=80 | depth=0 level=1
  iter   12 | t=   0.2s | IMPROVED +0.000460 -> -0.548371 | n=62 e=82 | depth=0 level=1
  iter   13 | t=   0.3s | IMPROVED +0.001625 -> -0.546746 | n=63 e=84 | depth=0 level=1
  iter   14 | t=   0.3s | IMPROVED +0.000429 -> -0.546317 | n=63 e=86 | depth=0 level=1
  iter   15 | t=   0.4s | IMPROVED +0.001580 -> -0.544737 | n=63 e=88 | depth=0 level=1
  iter   16 | t=   0.5s | IMPROVED +0.003622 -> -0.541115 | n=63 e=90 | depth=0 level=1
  iter   17 | t=   0.6s | IMPROVED +0.014128 -> -0.526987 | n=64 e=92 | depth=0 level=1
  iter   18 | t=   0.6s | IMPROVED +0.001447 -> -0.525540 | n=64 e=94 | depth=0 level=1
  iter   19 | t=   0.7s | IMPROVED +0.003446 -> -0.522094 | n=65 e=96 | depth=0 level=1
  iter   20 | t=   0.7s | IMPROVED +0.003416 -> -0.518678 | n=66 e=98 | depth=0 level=1
