Tabu Search for counterexample to Bound 44
Time budget: 1800s | Start n=15 | Restarts=5
============================================================

============================================================
Restart 1/5 | n=15 e=21 density=0.2 | budget=360s
============================================================
Tabu Search start | n=15 e=21 | score=-1.198410
  iter  1900 | t=  298.6s | current=-0.090478 best=-0.053157 | n=15 e=21 | tabu=50
  iter  1950 | t=  306.3s | current=-0.090320 best=-0.053157 | n=15 e=21 | tabu=50
  iter  2000 | t=  314.0s | current=-0.090320 best=-0.053157 | n=15 e=21 | tabu=50
  iter  2050 | t=  321.8s | current=-0.090350 best=-0.053157 | n=15 e=21 | tabu=50
  iter  2100 | t=  329.5s | current=-0.090243 best=-0.053157 | n=15 e=21 | tabu=50
  iter  2150 | t=  337.2s | current=-0.090320 best=-0.053157 | n=15 e=21 | tabu=50
  iter  2200 | t=  344.9s | current=-0.090243 best=-0.053157 | n=15 e=21 | tabu=50
  iter  2250 | t=  352.7s | current=-0.090320 best=-0.053157 | n=15 e=21 | tabu=50
Tabu Search done | 360.1s | 2298 iterations | best=-0.05315666

============================================================
Restart 2/5 | n=15 e=31 density=0.3 | budget=360s
============================================================
Tabu Search start | n=15 e=31 | score=-2.212154
  iter     1 | t=    0.0s | NEW BEST=-2.13024660 | n=15 e=31 | neighbors=1
  iter     1 | t=    0.0s | NEW BEST=-2.12917824 | n=15 e=31 | neighbors=5
  iter     1 | t=    0.0s | NEW BEST=-2.01431408 | n=15 e=31 | neighbors=12
  iter     1 | t=    0.0s | NEW BEST=-1.98474031 | n=15 e=31 | neighbors=83
  iter     1 | t=    0.1s | NEW BEST=-1.90749268 | n=15 e=31 | neighbors=237
  iter     2 | t=    0.2s | NEW BEST=-1.86175329 | n=15 e=31 | neighbors=1
  iter     2 | t=    0.2s | NEW BEST=-1.80729143 | n=15 e=31 | neighbors=10
  iter     2 | t=    0.2s | NEW BEST=-1.79330828 | n=15 e=31 | neighbors=15
  iter     2 | t=    0.2s | NEW BEST=-1.73448196 | n=15 e=31 | neighbors=18
  iter     2 | t=    0.2s | NEW BEST=-1.65845107 | n=15 e=31 | neighbors=34
  iter     2 | t=    0.2s | NEW BEST=-1.53125894 | n=15 e=31 | neighbors=44
  iter     2 | t=    0.3s | NEW BEST=-1.44841307 | n=15 e=31 | neighbors=196
  iter     3 | t=    0.4s | NEW BEST=-1.23363257 | n=15 e=31 | neighbors=56
  iter     3 | t=    0.5s | NEW BEST=-1.19118023 | n=15 e=31 | neighbors=287
  iter     4 | t=    0.6s | NEW BEST=-1.18282897 | n=15 e=31 | neighbors=18
  iter     4 | t=    0.6s | NEW BEST=-1.08408738 | n=15 e=31 | neighbors=70
  iter     4 | t=    0.7s | NEW BEST=-1.08133778 | n=15 e=31 | neighbors=210
  iter     4 | t=    0.8s | NEW BEST=-1.01129744 | n=15 e=31 | neighbors=450
  iter     5 | t=    0.8s | NEW BEST=-0.79931334 | n=15 e=31 | neighbors=48
  iter     6 | t=    1.0s | NEW BEST=-0.77378237 | n=15 e=31 | neighbors=2
  iter     6 | t=    1.0s | NEW BEST=-0.64280240 | n=15 e=31 | neighbors=24
  iter     6 | t=    1.1s | NEW BEST=-0.62838509 | n=15 e=31 | neighbors=100
  iter     7 | t=    1.2s | NEW BEST=-0.61257167 | n=15 e=31 | neighbors=29
  iter     7 | t=    1.2s | NEW BEST=-0.59490453 | n=15 e=31 | neighbors=48
  iter     7 | t=    1.3s | NEW BEST=-0.55988881 | n=15 e=31 | neighbors=69
  iter     7 | t=    1.3s | NEW BEST=-0.54361265 | n=15 e=31 | neighbors=148
